#,Keyword
1,宿主
2,複合型活性益生菌
3,有益菌數
4,體質
5,酪酸梭菌
6,雙歧桿菌
7,放線菌
8,微生物
9,飲食習慣差異
10,研發產品
11,活性含量
12,定殖
13,菌種平衡
14,木寡糖
15,糞(屎)腸球菌
16,抗過敏
17,重點整理
18,主菌種
19,私密保養
20,蛋白
21,發酵物
22,異位性皮膚炎
23,過敏性鼻炎
24,陰道感染
25,森下仁丹
26,配方時代
27,優酪乳
28,雷特氏B菌
29,細菌叢生態
30,維持消化道機能
31,高劑量
32,膳食纖維
33,複合菌
34,LP-BRAP-01
35,LP-HB89
36,專利菌種
37,耐酸耐鹼
38,營養師輕食
39,空腹
40,原生保健性菌種
41,腸胃道
42,促進腸胃道
43,消化不良
44,糞腸球菌
45,Enterococcus faecalis
46,屎腸球菌
47,Enterococcus faecium
48,乳桿菌屬
49,Lactobacillus
50,嗜酸乳桿菌
51,Lactobacillus Acidophilus
52,雙歧桿菌屬
53,Bifidobacterium
54,比菲德氏B菌
55,Bifidobacterium bifidum
56,用藥安全
57,便祕
58,消化不良
59,胃酸
60,胃痛
61,脹氣
62,胸悶
63,飲食
64,牛奶
65,優格
66,優酪乳
67,乳製品
68,抗生素
69,益生菌
70,酵素
71,膠原蛋白
72,生理調節
73,伺機性病原菌
74,腸道蠕動力
75,雷曼氏桿菌
76,龍根菌
77,黃金時間
78,腸胃病
79,嗜熱鏈球菌
80,陰道炎感染
81,白色念珠菌
82,進一步
83,腸內細菌
84,蛋白質
85,給予
86,被視為
87,體溫
88,膽固醇
89,乳糖不耐症
90,層層關卡
91,腸道
92,促進腸道
93,針對
94,維護
95,LP33
96,大江生醫
97,TCI大江生醫
98,生命學家
99,沙門氏菌
100,代田菌
101,保加利亞
102,大腸桿菌
103,Alfred Nissle
104,Escherichia coli
105,Eschericia coli Nissle 1917
106,Nissle 1917
107,代田稔
108,L. paracasei
109,L.casei
110,乾酪乳酸桿菌
111,洛德乳桿菌
112,IFN-γ
113,益生菌
114,嗜伊紅性球
115,過敏性疾病
116,幽門螺旋桿菌
117,免疫系統
118,次世代定序平台
119,參與者
120,菊苣纖維
121,乳糖不耐
122,葡聚多醣體
123,胡蘿蔔
124,二氧化矽
125,二氧化鈦
126,硬脂酸鎂
127,乳鐵蛋白
128,Gut-Brain Axis
129,查核點
130,偽膜性大腸炎
131,發炎性腸疾病
132,壞死性腸炎
133,動物實驗
134,早產兒
135,LJ菌
136,麥芽糊精
137,異麥芽寡糖
138,金黃色葡萄球菌
139,BB-12
140,此處
141,購物
142,維基百科
143,購物中心
144,鍾根堂
145,LACTO-FIT
146,World Gym
147,吸收不良
148,新陳代謝
149,LP菌副凱氏乳酸桿菌
150,LGG菌鼠李糖乳桿菌
151,A菌嗜乳酸桿菌
152,B菌比菲德氏菌
153,C菌凱氏乳酸菌
154,消化道中
155,玉米黃素
156,芽孢桿菌
157,植物乳酸菌
158,益生元
159,菌落形成單位
160,腸道菌叢生態
